1,"ïΩê¨22îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41,"25201","0310","2","","","","é†âÍåß","ëÂí√és","ê^ñÏâ∆ìcí¨","",22,7,7,-,-,1,1,-,-,1,3,1,-,3,-,-,1,2,-,-,1,1,12,4,4,-,-,1,1,-,-,1,-,1,-,2,-,-,1,-,-,-,1,-,10,3,3,-,-,-,-,-,-,-,3,-,-,1,-,-,-,2,-,-,-,1
42,"25201","0320","2","","","","é†âÍåß","ëÂí√és","ê^ñÏíJå˚í¨","",70,8,8,-,-,4,14,1,1,2,6,4,-,-,4,1,2,6,3,6,5,3,44,7,7,-,-,3,10,1,1,2,3,1,-,-,2,-,-,1,3,4,4,2,26,1,1,-,-,1,4,-,-,-,3,3,-,-,2,1,2,5,-,2,1,1
43,"25201","0330","2","","","","é†âÍåß","ëÂí√és","å¸ózí¨","",161,1,1,-,-,5,19,1,3,2,37,5,10,6,9,9,13,17,-,7,8,9,93,1,1,-,-,4,16,-,3,2,18,1,8,3,2,5,8,4,-,6,6,6,68,-,-,-,-,1,3,1,-,-,19,4,2,3,7,4,5,13,-,1,2,3
44,"25201","0340","2","","","","é†âÍåß","ëÂí√és","î¸ãÛí¨","",690,2,2,-,-,49,103,1,15,50,122,9,9,19,52,32,16,56,-,73,12,70,375,1,1,-,-,45,72,1,11,48,39,2,8,12,16,10,7,10,-,48,4,41,315,1,1,-,-,4,31,-,4,2,83,7,1,7,36,22,9,46,-,25,8,29
45,"25201","0350","2","","","","é†âÍåß","ëÂí√és","â‘âÄí¨","",206,1,-,-,-,15,26,-,3,6,43,2,3,14,5,8,23,28,-,10,14,5,110,-,-,-,-,10,18,-,3,5,22,2,3,9,1,1,10,9,-,5,10,2,96,1,-,-,-,5,8,-,-,1,21,-,-,5,4,7,13,19,-,5,4,3
46,"25201","0360","2","","","","é†âÍåß","ëÂí√és","ê¥ïóí¨","",522,1,1,-,-,21,89,3,4,17,80,28,12,24,35,25,56,59,2,21,25,20,296,1,1,-,-,17,58,3,3,15,43,12,9,18,18,8,32,13,1,15,21,9,226,-,-,-,-,4,31,-,1,2,37,16,3,6,17,17,24,46,1,6,4,11
47,"25201","0370","2","","","","é†âÍåß","ëÂí√és","ózñæí¨","",453,-,-,-,-,26,52,5,14,26,103,12,6,27,22,8,35,65,1,11,22,18,257,-,-,-,-,22,39,5,12,24,48,5,5,20,6,3,18,12,1,9,17,11,196,-,-,-,-,4,13,-,2,2,55,7,1,7,16,5,17,53,-,2,5,7
48,"25201","0380","2","","","","é†âÍåß","ëÂí√és","ê¥òaí¨","",633,-,-,-,-,31,89,14,16,34,105,25,13,25,36,17,49,75,5,22,44,33,359,-,-,-,-,22,73,10,11,29,46,11,11,16,13,6,25,15,3,14,35,19,274,-,-,-,-,9,16,4,5,5,59,14,2,9,23,11,24,60,2,8,9,14
49,"25201","0390","2","","","","é†âÍåß","ëÂí√és","óŒí¨","",717,1,-,1,-,36,114,9,24,16,118,30,10,38,34,27,63,77,3,39,39,38,407,1,-,1,-,31,81,8,19,14,49,18,7,29,11,8,31,20,1,30,28,20,310,-,-,-,-,5,33,1,5,2,69,12,3,9,23,19,32,57,2,9,11,18
50,"25201","0400","2","","","","é†âÍåß","ëÂí√és","åòìc","",1065,3,3,-,-,88,179,8,14,46,129,24,10,157,84,21,51,103,1,47,37,63,651,2,2,-,-,71,137,7,12,35,66,9,8,124,36,10,24,17,-,28,33,32,414,1,1,-,-,17,42,1,2,11,63,15,2,33,48,11,27,86,1,19,4,31
51,"25201","040001","3","","","","é†âÍåß","ëÂí√és","åòìc","ÇPíöñ⁄",888,3,3,-,-,82,143,8,14,46,127,24,10,36,84,21,47,100,1,44,36,62,510,2,2,-,-,65,109,7,12,35,66,9,8,22,36,10,21,17,-,26,33,32,378,1,1,-,-,17,34,1,2,11,61,15,2,14,48,11,26,83,1,18,3,30
52,"25201","040002","3","","","","é†âÍåß","ëÂí√és","åòìc","ÇQíöñ⁄",177,-,-,-,-,6,36,-,-,-,2,-,-,121,-,-,4,3,-,3,1,1,141,-,-,-,-,6,28,-,-,-,-,-,-,102,-,-,3,-,-,2,-,-,36,-,-,-,-,-,8,-,-,-,2,-,-,19,-,-,1,3,-,1,1,1
53,"25201","0420","2","","","","é†âÍåß","ëÂí√és","ñ{åòìc","",4015,34,33,77,-,246,529,24,65,178,822,88,60,182,276,188,186,447,26,217,114,256,2211,24,23,44,-,204,389,23,52,150,379,38,32,114,105,76,93,110,15,140,82,141,1804,10,10,33,-,42,140,1,13,28,443,50,28,68,171,112,93,337,11,77,32,115
54,"25201","042001","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇPíöñ⁄",655,12,12,-,-,62,77,1,7,37,150,11,8,26,55,17,13,60,6,48,6,59,349,9,9,-,-,50,54,1,6,34,56,5,6,14,13,4,8,17,5,31,5,31,306,3,3,-,-,12,23,-,1,3,94,6,2,12,42,13,5,43,1,17,1,28
55,"25201","042002","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇQíöñ⁄",635,7,7,67,-,28,80,4,10,35,127,8,9,23,40,25,26,60,2,25,14,45,357,5,5,38,-,24,54,4,8,32,65,4,4,16,18,10,12,12,2,16,10,23,278,2,2,29,-,4,26,-,2,3,62,4,5,7,22,15,14,48,-,9,4,22
56,"25201","042003","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇRíöñ⁄",827,7,6,5,-,51,113,6,12,37,170,19,9,28,66,51,30,82,5,53,23,60,455,5,4,3,-,44,83,6,10,29,81,7,5,17,28,18,8,24,3,34,17,33,372,2,2,2,-,7,30,-,2,8,89,12,4,11,38,33,22,58,2,19,6,27
57,"25201","042004","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇSíöñ⁄",1028,3,3,5,-,49,145,6,26,41,189,33,15,68,56,60,78,114,7,43,37,53,590,3,3,3,-,37,112,6,20,34,94,17,7,46,24,28,45,33,3,26,24,28,438,-,-,2,-,12,33,-,6,7,95,16,8,22,32,32,33,81,4,17,13,25
58,"25201","042005","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇTíöñ⁄",487,4,4,-,-,30,64,4,8,17,119,12,12,17,24,19,20,73,2,23,13,26,259,2,2,-,-,27,48,3,7,12,54,3,6,11,10,7,7,17,-,19,7,19,228,2,2,-,-,3,16,1,1,5,65,9,6,6,14,12,13,56,2,4,6,7
59,"25201","042006","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇUíöñ⁄",383,1,1,-,-,26,50,3,2,11,67,5,7,20,35,16,19,58,4,25,21,13,201,-,-,-,-,22,38,3,1,9,29,2,4,10,12,9,13,7,2,14,19,7,182,1,1,-,-,4,12,-,1,2,38,3,3,10,23,7,6,51,2,11,2,6
60,"25201","0480","2","","","","é†âÍåß","ëÂí√és","àﬂêÏ","",1401,10,10,-,-,109,207,6,23,57,242,32,22,59,101,62,69,143,2,95,68,94,833,6,6,-,-,98,143,6,15,47,119,11,19,41,37,31,41,40,1,67,56,55,568,4,4,-,-,11,64,-,8,10,123,21,3,18,64,31,28,103,1,28,12,39
61,"25201","048001","3","","","","é†âÍåß","ëÂí√és","àﬂêÏ","ÇPíöñ⁄",631,9,9,-,-,60,78,4,12,29,120,14,14,28,53,33,23,42,1,50,15,46,376,6,6,-,-,52,56,4,7,24,58,5,12,19,21,17,12,13,1,31,8,30,255,3,3,-,-,8,22,-,5,5,62,9,2,9,32,16,11,29,-,19,7,16
62,"25201","048002","3","","","","é†âÍåß","ëÂí√és","àﬂêÏ","ÇQíöñ⁄",520,1,1,-,-,27,97,1,9,17,85,13,8,27,33,13,40,76,1,29,10,33,301,-,-,-,-,25,69,1,7,14,46,4,7,19,12,5,26,20,-,22,8,16,219,1,1,-,-,2,28,-,2,3,39,9,1,8,21,8,14,56,1,7,2,17
