3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","éÂê¢ë—êî","","","","","","","","éÂê¢ë—êlàı","","","","","","","","1ê¢ë—ìñÇΩÇËêlàı","","","","","","","","1ê¢ë—ìñÇΩÇËé∫êî","","","","","","","","1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœ(áu)","","","","","","","","ëçé∫êî","","","","","","","","ëçâÑÇ◊ñ êœ(áu)","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","ésãÊí¨ë∫","í¨íöéö","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº"
37,"25201","0280","ëÂí√és","ê^ñÏÅ@ç≤êÏí¨",40,40,-,-,-,-,-,-,158,158,-,-,-,-,-,-,3.95,3.95,-,-,-,-,-,-,8.575,8.575,-,-,-,-,-,-,176.45,176.45,-,-,-,-,-,-,343,343,-,-,-,-,-,-,7058,7058,-,-,-,-,-,-
38,"25201","0290","ëÂí√és","ê^ñÏëÂñÏ",225,225,-,-,-,-,-,-,866,866,-,-,-,-,-,-,3.8488888889,3.8488888889,-,-,-,-,-,-,6.1155555556,6.1155555556,-,-,-,-,-,-,128.0977777778,128.0977777778,-,-,-,-,-,-,1376,1376,-,-,-,-,-,-,28822,28822,-,-,-,-,-,-
39,"25201","029001","ëÂí√és","ê^ñÏëÂñÏÇPíöñ⁄",221,221,-,-,-,-,-,-,849,849,-,-,-,-,-,-,3.8416289593,3.8416289593,-,-,-,-,-,-,6.0950226244,6.0950226244,-,-,-,-,-,-,126.9502262443,126.9502262443,-,-,-,-,-,-,1347,1347,-,-,-,-,-,-,28056,28056,-,-,-,-,-,-
40,"25201","029002","ëÂí√és","ê^ñÏëÂñÏÇQíöñ⁄",4,4,-,-,-,-,-,-,17,17,-,-,-,-,-,-,4.25,4.25,-,-,-,-,-,-,7.25,7.25,-,-,-,-,-,-,191.5,191.5,-,-,-,-,-,-,29,29,-,-,-,-,-,-,766,766,-,-,-,-,-,-
41,"25201","0310","ëÂí√és","ê^ñÏÅ@â∆ìcí¨",12,12,-,-,-,-,-,-,41,41,-,-,-,-,-,-,3.4166666667,3.4166666667,-,-,-,-,-,-,7.8333333333,7.8333333333,-,-,-,-,-,-,131.4166666667,131.4166666667,-,-,-,-,-,-,94,94,-,-,-,-,-,-,1577,1577,-,-,-,-,-,-
42,"25201","0320","ëÂí√és","ê^ñÏÅ@íJå˚í¨",44,44,-,-,-,-,-,-,178,178,-,-,-,-,-,-,4.0454545455,4.0454545455,-,-,-,-,-,-,7.9318181818,7.9318181818,-,-,-,-,-,-,161.0681818182,161.0681818182,-,-,-,-,-,-,349,349,-,-,-,-,-,-,7087,7087,-,-,-,-,-,-
43,"25201","0330","ëÂí√és","å¸ózí¨",135,135,-,-,-,-,-,-,428,428,-,-,-,-,-,-,3.1703703704,3.1703703704,-,-,-,-,-,-,6.3185185185,6.3185185185,-,-,-,-,-,-,137.2740740741,137.2740740741,-,-,-,-,-,-,853,853,-,-,-,-,-,-,18532,18532,-,-,-,-,-,-
44,"25201","0340","ëÂí√és","î¸ãÛí¨",839,-,-,839,-,839,-,-,2201,-,-,2201,-,2201,-,-,2.6233611442,-,-,2.6233611442,-,2.6233611442,-,-,3.5387365912,-,-,3.5387365912,-,3.5387365912,-,-,54.2491060787,-,-,54.2491060787,-,54.2491060787,-,-,2969,-,-,2969,-,2969,-,-,45515,-,-,45515,-,45515,-,-
45,"25201","0350","ëÂí√és","â‘âÄí¨",151,151,-,-,-,-,-,-,515,515,-,-,-,-,-,-,3.4105960265,3.4105960265,-,-,-,-,-,-,6.5231788079,6.5231788079,-,-,-,-,-,-,149.0264900662,149.0264900662,-,-,-,-,-,-,985,985,-,-,-,-,-,-,22503,22503,-,-,-,-,-,-
46,"25201","0360","ëÂí√és","ê¥ïóí¨",362,362,-,-,-,-,-,-,1371,1371,-,-,-,-,-,-,3.7872928177,3.7872928177,-,-,-,-,-,-,5.8812154696,5.8812154696,-,-,-,-,-,-,125.7624309392,125.7624309392,-,-,-,-,-,-,2129,2129,-,-,-,-,-,-,45526,45526,-,-,-,-,-,-
