1,"ïΩê¨17îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj"
2,"ëÊ6ï\Å@ê¢ë—ÇÃâ∆ë∞óﬁå^Åi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıÅCêeë∞êlàıãyÇ—1ê¢ë—ìñÇΩÇËêeë∞êlàıÅi6çŒñ¢ñûÅE18çŒñ¢ñûÅE65çŒà»è„êeë∞ÇÃÇ¢ÇÈàÍî ê¢ë—êîãyÇ—3ê¢ë„ê¢ë—Å|ì¡åfÅj"
3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101,"25201","072001","","","","ëÂí√és","ç‚ñ{ÇPíöñ⁄",408,1152,1147,2.8112745098,47,107,158,72,339,1080,1078,3.1799410029,47,107,125,40,294,868,866,2.9455782313,39,85,86,40,100,202,200,2,-,-,50,39,153,566,566,3.6993464052,38,75,23,-,45,212,212,4.7111111111,8,22,39,-,3,6,3,1,-,-,1,-,66,66,66,1,-,-,32,32,37,186,186,5.027027027,7,20,32,-
102,"25201","072002","","","","ëÂí√és","ç‚ñ{ÇQíöñ⁄",365,1029,1024,2.8054794521,53,118,138,49,288,949,947,3.2881944444,53,118,111,22,246,741,739,3.0040650407,44,94,73,22,72,145,144,2,-,-,37,22,136,502,501,3.6838235294,41,80,22,-,42,208,208,4.9523809524,9,24,38,-,3,6,3,1,-,-,-,-,74,74,74,1,-,-,27,27,36,187,187,5.1944444444,9,23,32,-
103,"25201","072003","","","","ëÂí√és","ç‚ñ{ÇRíöñ⁄",721,1957,1955,2.7115117892,71,189,298,143,548,1783,1782,3.2518248175,71,189,232,77,463,1368,1367,2.9524838013,53,143,154,75,159,318,318,2,-,-,95,74,243,896,896,3.6872427984,47,125,36,-,85,415,415,4.8823529412,18,46,78,2,1,2,1,1,-,-,-,-,172,172,172,1,-,-,66,66,69,362,362,5.2463768116,18,46,64,-
104,"25201","072004","","","","ëÂí√és","ç‚ñ{ÇSíöñ⁄",221,649,647,2.92760181,17,49,131,52,186,614,612,3.2903225806,17,49,112,33,140,404,402,2.8714285714,11,28,67,32,53,107,106,2,-,-,40,32,74,265,264,3.5675675676,11,27,20,-,46,210,210,4.5652173913,6,21,45,1,-,-,-,-,-,-,-,-,35,35,35,1,-,-,19,19,37,186,186,5.027027027,6,21,36,-
105,"25201","072005","","","","ëÂí√és","ç‚ñ{ÇTíöñ⁄",245,639,632,2.5795918367,25,50,109,53,177,565,564,3.186440678,25,50,83,27,152,442,441,2.9013157895,22,39,60,26,52,104,104,2,-,-,33,26,79,291,290,3.6708860759,22,36,18,-,25,123,123,4.92,3,11,23,1,1,7,1,1,-,-,-,-,67,67,67,1,-,-,26,26,17,99,99,5.8235294118,3,10,16,-
106,"25201","072006","","","","ëÂí√és","ç‚ñ{ÇUíöñ⁄",607,1614,1608,2.6490939044,49,133,289,139,445,1450,1446,3.2494382022,49,133,202,52,356,1042,1041,2.9241573034,38,93,129,48,107,214,214,2,-,-,69,48,173,640,640,3.6994219653,33,71,29,-,89,408,405,4.5505617978,11,40,73,4,2,4,2,1,-,-,-,-,160,160,160,1,-,-,87,87,64,334,331,5.171875,11,38,55,-
107,"25201","072007","","","","ëÂí√és","ç‚ñ{ÇVíöñ⁄",606,1611,1604,2.6468646865,79,174,237,117,482,1485,1480,3.0705394191,79,174,185,65,420,1223,1218,2.9,66,143,133,60,150,302,300,2,-,-,81,59,205,763,760,3.7073170732,59,116,33,-,62,262,262,4.2258064516,13,31,52,5,2,4,2,1,-,-,-,-,122,122,122,1,-,-,52,52,41,206,206,5.0243902439,13,31,36,-
108,"25201","072008","","","","ëÂí√és","ç‚ñ{ÇWíöñ⁄",324,929,924,2.8518518519,42,108,103,52,263,866,863,3.2813688213,42,108,72,21,233,727,725,3.1115879828,38,93,54,21,58,117,116,2,-,-,28,19,129,489,488,3.7829457364,35,71,18,-,30,139,138,4.6,4,15,18,-,2,4,2,1,-,-,-,-,59,59,59,1,-,-,31,31,21,114,113,5.380952381,4,15,17,-
109,"25201","0800","","","","ëÂí√és","ñÿÇÃâ™í¨",386,1023,1022,2.6476683938,50,97,162,81,308,944,944,3.0649350649,50,97,132,51,271,773,773,2.852398524,41,73,98,50,105,210,210,2,-,-,61,50,138,499,499,3.615942029,40,67,24,-,37,171,171,4.6216216216,9,24,34,1,1,2,1,1,-,-,-,-,77,77,77,1,-,-,30,30,33,158,158,4.7878787879,9,24,30,-
110,"25201","0810","","","","ëÂí√és","â∫ç„ñ{",2100,6307,6299,2.9995238095,350,773,633,207,1741,5942,5940,3.4118322803,350,773,557,132,1429,4425,4424,3.0958712386,298,619,286,127,415,830,830,2,-,-,166,125,885,3274,3274,3.6994350282,294,579,80,-,312,1517,1516,4.858974359,52,154,271,5,6,12,6,1,-,-,1,-,353,353,353,1,-,-,75,75,237,1275,1274,5.3755274262,51,151,212,-
