4,"","","","","","","","ëçêî","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆"
2809,"25481","0180","çáéZínàÊÇ†ÇË","","0190","êÛà‰í¨","ëÂéöçïïî",37,5,-,-,-,-,11,-,-,3,3,1,-,-,3,6,-,5,-,-,22,3,-,-,-,-,7,-,-,3,1,1,-,-,1,3,-,3,-,-,15,2,-,-,-,-,4,-,-,-,2,-,-,-,2,3,-,2,-,-
2810,"25481","0190","îÈìΩínàÊ","0180","","êÛà‰í¨","ëÂéöó¥à¿éõ",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2811,"25481","0200","","","","êÛà‰í¨","ëÂéöíJå˚",66,2,-,-,-,3,10,-,-,-,9,2,-,1,6,7,2,19,5,-,35,1,-,-,-,1,6,-,-,-,4,2,-,-,1,2,1,12,5,-,31,1,-,-,-,2,4,-,-,-,5,-,-,1,5,5,1,7,-,-
2812,"25481","0210","","","","êÛà‰í¨","ëÂéöñkñÏ",112,11,-,-,-,7,39,-,1,4,15,3,-,2,6,7,3,9,5,-,63,6,-,-,-,7,23,-,-,4,7,1,-,1,1,2,3,3,5,-,49,5,-,-,-,-,16,-,1,-,8,2,-,1,5,5,-,6,-,-
2813,"25481","0220","","","","êÛà‰í¨","ëÂéöírâú",13,2,-,-,-,3,1,-,-,1,1,-,-,-,3,-,-,-,2,-,6,2,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,1,-,7,-,-,-,-,1,-,-,-,1,1,-,-,-,3,-,-,-,1,-
2814,"25481","0230","","","","êÛà‰í¨","ëÂéöâZê∂",59,6,-,-,-,1,23,-,1,5,7,1,-,4,6,4,-,-,1,-,34,3,-,-,-,1,15,-,1,4,3,1,-,1,2,2,-,-,1,-,25,3,-,-,-,-,8,-,-,1,4,-,-,3,4,2,-,-,-,-
2815,"25481","0240","","","","êÛà‰í¨","ëÂéöìcêÏ",105,16,-,-,-,3,23,1,-,5,10,1,-,4,6,7,5,13,9,2,56,10,-,-,-,2,12,1,-,5,7,-,-,1,1,3,3,4,6,1,49,6,-,-,-,1,11,-,-,-,3,1,-,3,5,4,2,9,3,1
2816,"25481","0250","","","","êÛà‰í¨","ëÂéöê{âÍíJ",9,-,-,-,-,1,2,-,-,-,3,-,-,1,-,-,-,-,2,-,7,-,-,-,-,1,1,-,-,-,2,-,-,1,-,-,-,-,2,-,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
2817,"25481","0260","","","","êÛà‰í¨","ëÂéöñkÉmãΩ",51,5,-,-,-,1,12,-,1,3,6,-,-,1,8,6,2,4,2,-,32,3,-,-,-,1,9,-,1,3,4,-,-,-,1,3,1,4,2,-,19,2,-,-,-,-,3,-,-,-,2,-,-,1,7,3,1,-,-,-
2818,"25481","0270","","","","êÛà‰í¨","ëÂéöìåñÏ",60,12,-,-,-,4,13,-,1,-,-,-,1,3,7,7,1,6,5,-,29,6,-,-,-,3,6,-,1,-,-,-,-,-,3,2,1,3,4,-,31,6,-,-,-,1,7,-,-,-,-,-,1,3,4,5,-,3,1,-
2819,"25481","0280","","","","êÛà‰í¨","ëÂéöè¨ñÏéõ",240,3,-,-,-,29,78,-,2,16,33,2,-,8,17,8,4,32,7,1,148,2,-,-,-,22,57,-,1,15,15,1,-,2,3,4,3,19,4,-,92,1,-,-,-,7,21,-,1,1,18,1,-,6,14,4,1,13,3,1
2820,"25481","0290","","","","êÛà‰í¨","ëÂéöëÁåÌ",25,3,-,-,-,1,8,-,-,-,5,-,-,-,4,-,2,1,1,-,17,2,-,-,-,1,6,-,-,-,3,-,-,-,2,-,1,1,1,-,8,1,-,-,-,-,2,-,-,-,2,-,-,-,2,-,1,-,-,-
2821,"25481","0300","","","","êÛà‰í¨","ëÂéöìøéR",53,2,-,-,-,6,18,-,-,-,8,1,-,1,8,2,-,5,2,-,29,1,-,-,-,6,13,-,-,-,3,-,-,1,1,1,-,2,1,-,24,1,-,-,-,-,5,-,-,-,5,1,-,-,7,1,-,3,1,-
2822,"25481","0310","","","","êÛà‰í¨","ëÂéöî—éR",37,7,-,-,-,2,10,-,-,1,4,2,-,-,5,1,2,1,2,-,22,4,-,-,-,2,9,-,-,-,2,1,-,-,2,-,1,1,-,-,15,3,-,-,-,-,1,-,-,1,2,1,-,-,3,1,1,-,2,-
2823,"25481","0320","","","","êÛà‰í¨","ëÂéöìññ⁄",54,5,-,-,-,8,12,-,-,2,4,2,-,-,2,6,2,7,3,1,31,3,-,-,-,6,7,-,-,2,-,1,-,-,1,3,2,3,2,1,23,2,-,-,-,2,5,-,-,-,4,1,-,-,1,3,-,4,1,-
2824,"25481","0330","","","","êÛà‰í¨","ëÂéöëÂñÂ",46,4,-,-,-,1,21,1,-,1,8,2,-,-,2,1,-,3,1,1,27,2,-,-,-,1,10,1,-,1,6,2,-,-,1,-,-,2,-,1,19,2,-,-,-,-,11,-,-,-,2,-,-,-,1,1,-,1,1,-
2825,"25481","0340","","","","êÛà‰í¨","ëÂéöèÊëq",52,4,-,-,-,4,17,-,-,4,6,2,1,3,5,-,1,4,1,-,30,3,-,-,-,4,10,-,-,4,2,-,-,1,1,-,1,4,-,-,22,1,-,-,-,-,7,-,-,-,4,2,1,2,4,-,-,-,1,-
2826,"25481","0350","","","","êÛà‰í¨","ëÂéöêºéÂåv",79,5,-,-,-,9,20,2,-,6,8,3,1,4,8,1,2,8,2,-,46,4,-,-,-,7,13,1,-,4,5,1,-,1,3,-,1,5,1,-,33,1,-,-,-,2,7,1,-,2,3,2,1,3,5,1,1,3,1,-
2827,"25481","0360","","","","êÛà‰í¨","ëÂéöìåéÂåv",103,5,-,-,-,10,33,-,1,4,14,3,-,2,6,10,4,6,4,1,54,3,-,-,-,7,16,-,1,4,5,1,-,1,-,3,4,4,4,1,49,2,-,-,-,3,17,-,-,-,9,2,-,1,6,7,-,2,-,-
2828,"25481","0370","","","","êÛà‰í¨","ëÂéöìÏãΩ",54,3,-,-,-,1,11,-,1,-,6,2,-,-,7,8,-,6,9,-,32,2,-,-,-,1,5,-,-,-,3,-,-,-,4,4,-,5,8,-,22,1,-,-,-,-,6,-,1,-,3,2,-,-,3,4,-,1,1,-
2829,"25481","0380","","","","êÛà‰í¨","ëÂéöëäñoíÎ",251,23,-,-,1,10,66,1,2,7,30,11,-,4,32,11,13,29,11,-,141,15,-,-,1,7,38,1,2,6,13,7,-,2,5,8,9,19,8,-,110,8,-,-,-,3,28,-,-,1,17,4,-,2,27,3,4,10,3,-
2830,"25481","0390","","","","êÛà‰í¨","ëÂéöç°ëë",99,17,-,-,-,3,32,-,-,2,16,-,-,2,11,3,3,6,4,-,54,9,-,-,-,3,20,-,-,1,7,-,-,1,3,1,3,2,4,-,45,8,-,-,-,-,12,-,-,1,9,-,-,1,8,2,-,4,-,-
2831,"25481","0400","","","","êÛà‰í¨","ëÂéöç≤ñÏ",81,9,-,-,-,2,29,-,1,2,8,3,-,4,9,2,1,9,2,-,42,5,-,-,-,1,19,-,-,2,4,2,-,1,3,-,-,3,2,-,39,4,-,-,-,1,10,-,1,-,4,1,-,3,6,2,1,6,-,-
2832,"25481","0410","","","","êÛà‰í¨","ëÂéöìÏír",44,6,-,-,-,2,13,-,-,-,7,1,-,-,5,5,-,3,2,-,21,4,-,-,-,2,8,-,-,-,4,1,-,-,-,1,-,-,1,-,23,2,-,-,-,-,5,-,-,-,3,-,-,-,5,4,-,3,1,-
2833,"25481","0420","","","","êÛà‰í¨","ëÂéöñkír",51,4,-,-,1,2,13,-,-,3,9,4,-,3,5,1,1,3,2,-,27,3,-,-,1,2,7,-,-,3,6,2,-,1,-,-,-,1,1,-,24,1,-,-,-,-,6,-,-,-,3,2,-,2,5,1,1,2,1,-
2834,"25481","0430","","","","êÛà‰í¨","ëÂéöñ@äyéõ",341,3,1,-,-,32,98,2,1,34,57,8,-,11,31,5,7,47,3,1,203,2,1,-,-,31,71,2,1,29,22,2,-,3,6,3,4,23,2,1,138,1,-,-,-,1,27,-,-,5,35,6,-,8,25,2,3,24,1,-
2835,"25481","0440","","","","êÛà‰í¨","ëÂéöñÏë∫",225,31,-,-,-,12,53,-,1,12,25,6,2,5,24,18,7,12,17,-,128,18,-,-,-,10,34,-,-,12,12,3,2,2,3,8,2,8,14,-,97,13,-,-,-,2,19,-,1,-,13,3,-,3,21,10,5,4,3,-
2836,"25481","0450","","","","êÛà‰í¨","ëÂéöñÏê£",108,1,-,-,-,10,43,-,1,-,17,2,1,5,7,6,2,11,2,-,63,1,-,-,-,9,22,-,-,-,10,-,-,3,4,4,1,8,1,-,45,-,-,-,-,1,21,-,1,-,7,2,1,2,3,2,1,3,1,-
2837,"25481","0460","","","","êÛà‰í¨","ëÂéöëêñÏ",125,13,-,-,-,10,43,1,-,4,12,-,-,2,11,2,5,15,7,-,73,9,-,-,-,7,23,1,-,4,6,-,-,1,5,1,4,8,4,-,52,4,-,-,-,3,20,-,-,-,6,-,-,1,6,1,1,7,3,-
2838,"25481","0470","","","","êÛà‰í¨","ëÂéöçÇéR",164,1,-,-,-,17,82,1,2,9,9,-,2,4,9,3,6,11,7,1,95,1,-,-,-,15,43,1,2,8,3,-,1,1,-,2,4,8,6,-,69,-,-,-,-,2,39,-,-,1,6,-,1,3,9,1,2,3,1,1
2839,"25481","0480","","","","êÛà‰í¨","ëÂéöéõét",63,6,-,-,-,5,17,2,-,4,7,1,1,2,5,3,-,7,3,-,36,4,-,-,-,3,12,2,-,4,-,-,1,-,1,1,-,5,3,-,27,2,-,-,-,2,5,-,-,-,7,1,-,2,4,2,-,2,-,-
2840,"25481","0490","","","","êÛà‰í¨","ëÂéöêºë∫",47,2,-,-,-,5,13,-,-,-,5,-,-,2,6,2,1,8,3,-,26,2,-,-,-,4,9,-,-,-,1,-,-,-,-,1,1,5,3,-,21,-,-,-,-,1,4,-,-,-,4,-,-,2,6,1,-,3,-,-
2841,"25481","0500","","","","êÛà‰í¨","ëÂéöëæìc",32,-,-,-,-,4,14,-,-,1,3,-,-,-,3,1,-,4,2,-,19,-,-,-,-,3,10,-,-,-,2,-,-,-,1,-,-,2,1,-,13,-,-,-,-,1,4,-,-,1,1,-,-,-,2,1,-,2,1,-
2842,"25481","0510","","","","êÛà‰í¨","ëÂéöãΩñÏ",96,1,-,-,-,7,34,1,1,5,9,3,-,7,11,3,1,8,5,-,52,1,-,-,-,6,21,1,-,5,3,3,-,2,2,-,-,3,5,-,44,-,-,-,-,1,13,-,1,-,6,-,-,5,9,3,1,5,-,-
2843,"25481","0520","","","","êÛà‰í¨","ëÂéöíbñËâÆ",123,1,-,-,-,12,39,-,1,6,20,1,-,3,13,9,1,11,4,2,70,1,-,-,-,11,17,-,1,6,13,1,-,1,3,3,1,9,1,2,53,-,-,-,-,1,22,-,-,-,7,-,-,2,10,6,-,2,3,-
2844,"25481","0530","","","","êÛà‰í¨","ëÂéöâ™íJ",23,1,-,-,-,3,6,-,-,-,3,-,-,-,2,2,-,6,-,-,12,1,-,-,-,3,4,-,-,-,2,-,-,-,-,-,-,2,-,-,11,-,-,-,-,-,2,-,-,-,1,-,-,-,2,2,-,4,-,-
2845,"25482","","","","","å’ïPí¨","ëçêî",2548,95,-,-,2,304,773,6,17,131,357,40,9,81,205,98,36,273,118,3,1482,61,-,-,2,251,478,6,10,105,156,15,7,32,40,40,22,164,92,1,1066,34,-,-,-,53,295,-,7,26,201,25,2,49,165,58,14,109,26,2
2846,"25482","0010","","","","å’ïPí¨","ëÂéöìÇçë",202,10,-,-,-,17,58,-,4,14,26,2,2,5,15,15,1,22,11,-,128,6,-,-,-,15,44,-,2,11,17,1,1,1,1,8,1,14,6,-,74,4,-,-,-,2,14,-,2,3,9,1,1,4,14,7,-,8,5,-
2847,"25482","0020","","","","å’ïPí¨","ëÂéöåéÉPê£",152,6,-,-,-,12,62,1,-,7,10,1,-,2,15,6,4,15,11,-,82,4,-,-,-,10,33,1,-,6,3,-,-,1,4,2,1,9,8,-,70,2,-,-,-,2,29,-,-,1,7,1,-,1,11,4,3,6,3,-
2848,"25482","0030","","","","å’ïPí¨","ëÂéöëÂéõ",247,7,-,-,-,7,76,1,1,2,66,8,1,5,18,11,2,28,14,-,134,4,-,-,-,7,47,1,-,2,31,5,1,3,3,5,-,14,11,-,113,3,-,-,-,-,29,-,1,-,35,3,-,2,15,6,2,14,3,-
2849,"25482","0040","","","","å’ïPí¨","ëÂéöíÜñÏ",202,9,-,-,-,16,69,1,1,6,27,5,1,5,21,14,4,14,9,-,106,5,-,-,-,13,39,1,1,4,7,2,1,3,4,5,3,11,7,-,96,4,-,-,-,3,30,-,-,2,20,3,-,2,17,9,1,3,2,-
2850,"25482","0050","","","","å’ïPí¨","ëÂéöéOêÏ",230,10,-,-,-,17,64,-,1,9,39,5,-,7,21,7,3,35,12,-,129,5,-,-,-,16,36,-,1,7,22,1,-,3,5,3,2,17,11,-,101,5,-,-,-,1,28,-,-,2,17,4,-,4,16,4,1,18,1,-
2851,"25482","0060","","","","å’ïPí¨","ëÂéöã{ïî",301,25,-,-,-,6,121,-,1,15,34,4,3,4,37,16,3,22,10,-,176,19,-,-,-,5,81,-,-,14,14,3,2,1,5,5,3,15,9,-,125,6,-,-,-,1,40,-,1,1,20,1,1,3,32,11,-,7,1,-
2852,"25482","0070","","","","å’ïPí¨","ëÂéöëÂà‰",224,15,-,-,-,11,53,1,3,12,30,2,1,3,29,9,7,22,25,1,137,11,-,-,-,7,38,1,2,8,13,1,1,1,10,4,4,14,21,1,87,4,-,-,-,4,15,-,1,4,17,1,-,2,19,5,3,8,4,-
2853,"25482","0080","","","","å’ïPí¨","ëÂéöêºëÂà‰",41,-,-,-,1,6,13,-,-,2,2,1,-,1,2,-,-,12,1,-,24,-,-,-,1,5,9,-,-,2,-,-,-,-,-,-,-,7,-,-,17,-,-,-,-,1,4,-,-,-,2,1,-,1,2,-,-,5,1,-
2854,"25482","0090","","","","å’ïPí¨","ëÂéöå‹",203,-,-,-,1,74,52,-,1,15,15,5,-,13,7,1,-,14,4,1,132,-,-,-,1,62,33,-,1,12,5,-,-,4,2,1,-,9,2,-,71,-,-,-,-,12,19,-,-,3,10,5,-,9,5,-,-,5,2,1
2855,"25482","0100","","","","å’ïPí¨","ëÂéöä`Émñÿ",79,-,-,-,-,22,17,-,1,7,8,1,-,9,3,1,-,9,-,1,42,-,-,-,-,19,9,-,-,7,-,-,-,4,-,-,-,3,-,-,37,-,-,-,-,3,8,-,1,-,8,1,-,5,3,1,-,6,-,1
2856,"25482","0110","","","","å’ïPí¨","ëÂéöí∑ìc",85,-,-,-,-,26,22,1,-,10,6,1,-,2,4,-,1,10,2,-,52,-,-,-,-,21,14,1,-,8,2,-,-,-,-,-,-,5,1,-,33,-,-,-,-,5,8,-,-,2,4,1,-,2,4,-,1,5,1,-
2857,"25482","0120","","","","å’ïPí¨","ëÂéöàÆí¨",197,-,-,-,-,49,64,-,2,14,21,2,-,9,4,1,-,28,3,-,110,-,-,-,-,43,26,-,1,11,3,-,-,5,-,-,-,20,1,-,87,-,-,-,-,6,38,-,1,3,18,2,-,4,4,1,-,8,2,-
2858,"25482","0130","","","","å’ïPí¨","ëÂéöê|",140,3,-,-,-,24,32,-,2,8,21,3,-,6,11,5,3,16,6,-,79,1,-,-,-,16,20,-,2,6,8,2,-,2,2,2,3,9,6,-,61,2,-,-,-,8,12,-,-,2,13,1,-,4,9,3,-,7,-,-
2859,"25482","0140","","","","å’ïPí¨","ëÂéöå‹ë∫",142,2,-,-,-,10,37,-,-,6,34,-,1,9,8,4,6,20,5,-,85,1,-,-,-,6,25,-,-,4,19,-,1,4,1,2,3,14,5,-,57,1,-,-,-,4,12,-,-,2,15,-,-,5,7,2,3,6,-,-
2860,"25482","0150","","","","å’ïPí¨","ëÂéöìc",103,8,-,-,-,7,33,1,-,4,18,-,-,1,10,8,2,6,5,-,66,5,-,-,-,6,24,1,-,3,12,-,-,-,3,3,2,3,4,-,37,3,-,-,-,1,9,-,-,1,6,-,-,1,7,5,-,3,1,-
2861,"25483","","","","","åŒñkí¨","ëçêî",4460,296,3,23,-,279,1441,11,33,217,545,59,9,121,451,261,102,448,154,7,2553,184,3,13,-,229,958,10,21,168,229,25,7,47,98,119,68,261,111,2,1907,112,-,10,-,50,483,1,12,49,316,34,2,74,353,142,34,187,43,5
2862,"25483","0010","","","","åŒñkí¨","ëÂéöëÚ",33,2,-,-,-,-,7,-,-,3,3,-,-,-,5,8,-,3,2,-,19,1,-,-,-,-,5,-,-,3,2,-,-,-,1,4,-,2,1,-,14,1,-,-,-,-,2,-,-,-,1,-,-,-,4,4,-,1,1,-
2863,"25483","0020","","","","åŒñkí¨","ëÂéöîLå˚",62,1,-,-,-,2,27,-,1,3,9,-,-,1,4,4,1,7,2,-,40,1,-,-,-,2,21,-,-,3,4,-,-,-,1,2,1,3,2,-,22,-,-,-,-,-,6,-,1,-,5,-,-,1,3,2,-,4,-,-
2864,"25483","0030","","","","åŒñkí¨","ëÂéöê¬ñº",128,3,-,-,-,8,47,-,-,6,26,-,-,1,12,6,3,14,2,-,77,2,-,-,-,7,38,-,-,6,7,-,-,1,3,3,2,6,2,-,51,1,-,-,-,1,9,-,-,-,19,-,-,-,9,3,1,8,-,-
2865,"25483","0040","","","","åŒñkí¨","ëÂéöî™ì˙és",140,8,-,-,-,17,42,-,1,6,22,2,1,3,18,4,2,9,5,-,85,5,-,-,-,12,32,-,-,5,9,-,1,2,3,2,2,7,5,-,55,3,-,-,-,5,10,-,1,1,13,2,-,1,15,2,-,2,-,-
2866,"25483","0050","","","","åŒñkí¨","ëÂéöç°",82,19,1,-,-,5,19,-,1,2,5,2,-,-,7,1,4,9,7,-,46,7,1,-,-,5,13,-,1,-,3,-,-,-,2,1,3,6,4,-,36,12,-,-,-,-,6,-,-,2,2,2,-,-,5,-,1,3,3,-
2867,"25483","0060","","","","åŒñkí¨","ëÂéöë¨êÖ",599,13,-,-,-,41,208,-,5,35,82,7,1,27,61,27,7,66,19,-,329,6,-,-,-,35,128,-,3,25,36,3,1,7,16,8,5,40,16,-,270,7,-,-,-,6,80,-,2,10,46,4,-,20,45,19,2,26,3,-
2868,"25483","0070","","","","åŒñkí¨","ëÂéöçÇìc",145,7,-,2,-,9,33,1,-,13,18,7,-,8,7,6,2,28,3,1,83,5,-,1,-,7,21,-,-,10,6,4,-,5,2,3,2,16,1,-,62,2,-,1,-,2,12,1,-,3,12,3,-,3,5,3,-,12,2,1
2869,"25483","0080","","","","åŒñkí¨","ëÂéöìÏë¨êÖ",84,13,-,-,-,11,21,-,1,3,9,-,-,1,10,5,3,4,3,-,52,10,-,-,-,8,16,-,-,2,4,-,-,-,1,3,3,3,2,-,32,3,-,-,-,3,5,-,1,1,5,-,-,1,9,2,-,1,1,-
2870,"25483","0090","","","","åŒñkí¨","ëÂéöè¨ëq",115,7,2,-,-,6,38,-,2,5,18,3,-,2,11,7,-,11,3,-,62,4,2,-,-,5,27,-,-,4,8,1,-,-,2,3,-,4,2,-,53,3,-,-,-,1,11,-,2,1,10,2,-,2,9,4,-,7,1,-
2871,"25483","0100","","","","åŒñkí¨","ëÂéöâÍ",66,8,-,-,-,4,25,-,-,3,8,1,-,1,4,4,2,5,1,-,41,6,-,-,-,4,18,-,-,2,2,-,-,-,1,3,-,4,1,-,25,2,-,-,-,-,7,-,-,1,6,1,-,1,3,1,2,1,-,-
2872,"25483","0110","","","","åŒñkí¨","ëÂéöëÂà¿éõ",70,8,-,-,-,2,12,-,2,2,9,-,-,-,9,9,1,12,4,-,38,5,-,-,-,2,11,-,1,2,4,-,-,-,1,3,1,5,3,-,32,3,-,-,-,-,1,-,1,-,5,-,-,-,8,6,-,7,1,-
2873,"25483","0120","","","","åŒñkí¨","ëÂéöînìn",165,10,-,-,-,9,45,-,-,13,17,5,-,8,22,7,2,20,7,-,97,8,-,-,-,8,28,-,-,11,8,2,-,3,4,5,1,13,6,-,68,2,-,-,-,1,17,-,-,2,9,3,-,5,18,2,1,7,1,-
2874,"25483","0130","","","","åŒñkí¨","ëÂéöè¨ç°",82,8,-,-,-,2,27,1,1,1,12,-,1,1,9,5,7,4,3,-,50,5,-,-,-,1,19,1,1,1,7,-,1,-,4,2,4,3,1,-,32,3,-,-,-,1,8,-,-,-,5,-,-,1,5,3,3,1,2,-
2875,"25483","0140","","","","åŒñkí¨","ëÂéöè„éRìc",138,4,-,-,-,6,59,-,1,7,18,4,-,2,9,7,4,13,4,-,74,2,-,-,-,5,35,-,1,6,6,2,-,-,1,5,2,7,2,-,64,2,-,-,-,1,24,-,-,1,12,2,-,2,8,2,2,6,2,-
2876,"25483","0150","","","","åŒñkí¨","ëÂéöâ∫éRìc",60,3,-,-,-,2,17,-,-,1,10,1,-,3,5,3,3,9,3,-,34,1,-,-,-,2,10,-,-,1,6,-,-,2,2,2,2,5,1,-,26,2,-,-,-,-,7,-,-,-,4,1,-,1,3,1,1,4,2,-
2877,"25483","0160","","","","åŒñkí¨","ëÂéöìÒñì",58,3,-,-,-,3,17,-,-,4,3,-,-,-,12,4,3,8,1,-,36,3,-,-,-,3,12,-,-,2,2,-,-,-,1,2,3,7,1,-,22,-,-,-,-,-,5,-,-,2,1,-,-,-,11,2,-,1,-,-
2878,"25483","0170","","","","åŒñkí¨","ëÂéöíöñÏ",397,40,-,-,-,17,163,1,4,12,34,2,2,10,33,22,7,35,11,4,256,24,-,-,-,14,132,1,2,10,14,2,1,4,5,9,4,25,7,2,141,16,-,-,-,3,31,-,2,2,20,-,1,6,28,13,3,10,4,2
2879,"25483","0180","","","","åŒñkí¨","ëÂéöî¸îZéR",15,1,-,-,-,2,9,-,-,-,1,-,-,-,-,-,-,-,2,-,11,1,-,-,-,1,6,-,-,-,1,-,-,-,-,-,-,-,2,-,4,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-
2880,"25483","0190","","","","åŒñkí¨","ëÂéöåSè„",88,3,-,-,-,-,40,-,-,9,12,-,-,2,8,3,-,6,5,-,45,2,-,-,-,-,22,-,-,7,6,-,-,-,1,1,-,2,4,-,43,1,-,-,-,-,18,-,-,2,6,-,-,2,7,2,-,4,1,-
2881,"25483","0200","","","","åŒñkí¨","ëÂéöéRòe",64,9,-,-,-,1,24,-,-,3,5,2,-,-,5,7,1,6,1,-,41,8,-,-,-,1,14,-,-,3,3,2,-,-,1,4,-,4,1,-,23,1,-,-,-,-,10,-,-,-,2,-,-,-,4,3,1,2,-,-
2882,"25483","0210","","","","åŒñkí¨","ëÂéöâÕñ—",180,15,-,-,-,11,60,-,1,4,17,4,1,7,20,7,3,22,7,1,101,8,-,-,-,9,37,-,1,3,5,2,1,3,6,5,3,12,6,-,79,7,-,-,-,2,23,-,-,1,12,2,-,4,14,2,-,10,1,1
2883,"25483","0220","","","","åŒñkí¨","ëÂéöï èä",24,4,-,-,-,2,2,-,-,1,2,1,-,1,2,8,1,-,-,-,13,2,-,-,-,2,2,-,-,-,1,-,-,-,1,4,1,-,-,-,11,2,-,-,-,-,-,-,-,1,1,1,-,1,1,4,-,-,-,-
2884,"25483","0230","","","","åŒñkí¨","ëÂéöóØñ⁄",72,3,-,-,-,2,20,-,1,9,9,-,-,2,12,3,2,6,3,-,36,1,-,-,-,2,16,-,1,4,2,-,-,1,2,-,1,3,3,-,36,2,-,-,-,-,4,-,-,5,7,-,-,1,10,3,1,3,-,-
2885,"25483","0240","","","","åŒñkí¨","ëÂéöà…ïî",131,1,-,-,-,10,40,3,2,6,16,2,-,7,14,6,3,16,5,-,71,1,-,-,-,9,25,3,2,4,5,1,-,4,3,4,1,7,2,-,60,-,-,-,-,1,15,-,-,2,11,1,-,3,11,2,2,9,3,-
2886,"25483","0250","","","","åŒñkí¨","ëÂéöîˆè„",153,4,-,13,-,14,47,-,-,5,21,2,1,9,9,4,2,18,4,-,91,2,-,7,-,11,29,-,-,5,8,1,1,6,1,1,1,15,3,-,62,2,-,6,-,3,18,-,-,-,13,1,-,3,8,3,1,3,1,-
2887,"25483","0260","","","","åŒñkí¨","ëÂéöìåîˆè„",59,6,-,-,-,8,21,-,-,2,7,-,-,3,3,6,-,3,-,-,31,5,-,-,-,7,10,-,-,2,4,-,-,-,-,2,-,1,-,-,28,1,-,-,-,1,11,-,-,-,3,-,-,3,3,4,-,2,-,-
2888,"25483","0270","","","","åŒñkí¨","ëÂéöêŒêÏ",34,-,-,2,-,-,14,-,-,-,3,2,-,1,2,6,1,3,-,-,17,-,-,1,-,-,8,-,-,-,-,1,-,1,1,2,1,2,-,-,17,-,-,1,-,-,6,-,-,-,3,1,-,-,1,4,-,1,-,-
2889,"25483","0280","","","","åŒñkí¨","ëÂéöí√ó¢",82,5,-,-,-,9,24,-,2,5,9,1,-,-,8,4,3,8,4,-,46,4,-,-,-,8,18,-,1,2,2,-,-,-,1,3,1,4,2,-,36,1,-,-,-,1,6,-,1,3,7,1,-,-,7,1,2,4,2,-
2890,"25483","0290","","","","åŒñkí¨","ëÂéöéRñ{",493,22,-,-,-,30,141,2,3,26,72,6,-,11,57,38,12,49,23,1,277,13,-,-,-,23,90,2,3,21,34,1,-,6,16,15,7,30,16,-,216,9,-,-,-,7,51,-,-,5,38,5,-,5,41,23,5,19,7,1
