4,"","","","","","","","ëçêî","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆"
52,"25201","0420","","","","ëÂí√és","ñ{åòìc",4048,36,1,88,-,315,494,20,73,157,922,103,51,295,388,193,46,685,109,72,2257,26,1,50,-,273,355,20,58,139,424,49,36,115,94,98,32,365,87,35,1791,10,-,38,-,42,139,-,15,18,498,54,15,180,294,95,14,320,22,37
53,"25201","042001","","","","ëÂí√és","ñ{åòìcÇPíöñ⁄",685,11,1,2,-,75,76,1,12,32,166,15,7,54,58,17,9,127,9,13,389,6,1,1,-,65,58,1,9,29,70,8,5,23,18,10,8,64,6,7,296,5,-,1,-,10,18,-,3,3,96,7,2,31,40,7,1,63,3,6
54,"25201","042002","","","","ëÂí√és","ñ{åòìcÇQíöñ⁄",660,6,-,76,-,46,85,5,10,26,154,10,13,38,53,33,8,79,15,3,362,5,-,43,-,40,54,5,8,24,73,4,8,16,10,18,5,36,12,1,298,1,-,33,-,6,31,-,2,2,81,6,5,22,43,15,3,43,3,2
55,"25201","042003","","","","ëÂí√és","ñ{åòìcÇRíöñ⁄",876,13,-,7,-,65,115,6,13,38,204,18,7,65,77,33,10,164,21,20,484,11,-,4,-,57,87,6,8,31,90,9,7,25,20,11,8,84,17,9,392,2,-,3,-,8,28,-,5,7,114,9,-,40,57,22,2,80,4,11
56,"25201","042004","","","","ëÂí√és","ñ{åòìcÇSíöñ⁄",1040,1,-,3,-,69,138,5,27,35,213,32,13,65,110,85,12,172,40,20,607,1,-,2,-,60,103,5,25,31,105,17,10,25,29,47,7,101,30,9,433,-,-,1,-,9,35,-,2,4,108,15,3,40,81,38,5,71,10,11
57,"25201","042005","","","","ëÂí√és","ñ{åòìcÇTíöñ⁄",376,5,-,-,-,32,31,2,5,10,103,12,7,35,40,12,4,61,5,12,191,3,-,-,-,27,18,2,4,9,50,6,3,13,7,5,3,30,4,7,185,2,-,-,-,5,13,-,1,1,53,6,4,22,33,7,1,31,1,5
58,"25201","042006","","","","ëÂí√és","ñ{åòìcÇUíöñ⁄",411,-,-,-,-,28,49,1,6,16,82,16,4,38,50,13,3,82,19,4,224,-,-,-,-,24,35,1,4,15,36,5,3,13,10,7,1,50,18,2,187,-,-,-,-,4,14,-,2,1,46,11,1,25,40,6,2,32,1,2
59,"25201","0480","","","","ëÂí√és","àﬂêÏ",1383,11,-,-,-,137,168,3,25,53,278,36,17,107,117,82,6,244,71,28,837,8,-,-,-,121,124,3,20,47,140,16,14,40,33,43,4,150,61,13,546,3,-,-,-,16,44,-,5,6,138,20,3,67,84,39,2,94,10,15
60,"25201","048001","","","","ëÂí√és","àﬂêÏÇPíöñ⁄",551,8,-,-,-,60,55,1,9,21,128,16,8,52,37,23,2,105,17,9,338,6,-,-,-,53,39,1,6,20,71,7,5,19,14,9,2,70,11,5,213,2,-,-,-,7,16,-,3,1,57,9,3,33,23,14,-,35,6,4
61,"25201","048002","","","","ëÂí√és","àﬂêÏÇQíöñ⁄",545,2,-,-,-,40,77,2,12,18,104,16,7,36,63,51,4,91,12,10,317,1,-,-,-,33,59,2,11,14,54,8,7,12,16,30,2,54,10,4,228,1,-,-,-,7,18,-,1,4,50,8,-,24,47,21,2,37,2,6
