年,地域,男,女
1995,30　和歌山,241.1,100.9
1995,31　鳥　取,244.2,107.8
1995,32　島　根,223.2,106.7
1995,33　岡　山,206.9,102.1
1995,34　広　島,231.3,106.4
1995,35　山　口,231.1,102.7
1995,36　徳　島,218,104.7
1995,37　香　川,206.5,98.9
1995,38　愛　媛,213.7,98.1
1995,39　高　知,213.4,96.8
1995,40　福　岡,256.5,115.8
1995,41　佐　賀,250.3,116.6
1995,42　長　崎,251.1,117.3
1995,43　熊　本,203.3,98.6
1995,44　大　分,211.9,101.4
1995,45　宮　崎,211.6,100.2
1995,46　鹿児島,215.5,100
1995,47　沖　縄,202.7,95.9
2000,全　　国,214,103.5
2000,01　北海道,222.1,104
2000,02　青　森,240.2,101.1
2000,03　岩　手,201.9,95.6
2000,04　宮　城,208.9,102.7
2000,05　秋　田,239,106.4
2000,06　山　形,215.3,103.8
2000,07　福　島,208.4,99.1
2000,08　茨　城,213.2,102.9
2000,09　栃　木,211.4,103
2000,10　群　馬,192.8,100.3
2000,11　埼　玉,209.3,106.6
2000,12　千　葉,203.3,100.8
2000,13　東　京,212.6,111.6
2000,14　神奈川,209.7,103.6
2000,15　新　潟,219.2,98.8
2000,16　富　山,202,94
2000,17　石　川,210.7,100.7
2000,18　福　井,191.1,98.3
2000,19　山　梨,198.4,93.1
2000,20　長　野,179.2,88.8
2000,21　岐　阜,206,105.8
2000,22　静　岡,199.5,95.3
2000,23　愛　知,203.7,105.1
2000,24　三　重,206.4,98.3
2000,25　滋　賀,209.5,99.7
2000,26　京　都,219.6,109.4
2000,27　大　阪,245,117.2
2000,28　兵　庫,229.9,108.2
2000,29　奈　良,217.2,99.6
2000,30　和歌山,225.9,103.8
2000,31　鳥　取,219.8,104
2000,32　島　根,224.8,86.9
2000,33　岡　山,198.2,96.9
2000,34　広　島,215.4,94.7
2000,35　山　口,221.5,107.3
2000,36　徳　島,210.9,101
2000,37　香　川,205.2,101.2
2000,38　愛　媛,211.4,101.5
2000,39　高　知,195.3,96.2
2000,40　福　岡,231.8,111.5
2000,41　佐　賀,241.8,105.4
2000,42　長　崎,234.8,105.3
2000,43　熊　本,191.9,95.8
2000,44　大　分,202.5,96.3
2000,45　宮　崎,210.9,92.7
2000,46　鹿児島,212.6,97.6
2000,47　沖　縄,194.8,87.8
2005,全　　国,197.7,97.3
2005,01　北海道,212,102.3
2005,02　青　森,234.1,99.6
2005,03　岩　手,199.1,94.3
2005,04　宮　城,194.1,97.3
2005,05　秋　田,214.6,95.9
2005,06　山　形,188.7,96.1
2005,07　福　島,193.3,95.1
2005,08　茨　城,200.4,99
2005,09　栃　木,195.3,96.5
2005,10　群　馬,189.7,95.2
2005,11　埼　玉,196,99.9
2005,12　千　葉,192.2,96.2
2005,13　東　京,193.4,102.1
2005,14　神奈川,191.9,98.7
2005,15　新　潟,205.2,94.8
2005,16　富　山,189.1,90.7
2005,17　石　川,189.7,95.6
2005,18　福　井,181.6,94.5
2005,19　山　梨,191.7,87.7
2005,20　長　野,163.9,86.7
2005,21　岐　阜,182.3,94
2005,22　静　岡,184.2,89.6
2005,23　愛　知,192.3,98.3
2005,24　三　重,180.4,90.7
2005,25　滋　賀,183.6,97.7
2005,26　京　都,193.6,97.6
2005,27　大　阪,221.8,107
2005,28　兵　庫,210.6,100.5
2005,29　奈　良,209,95.6
2005,30　和歌山,211.3,100.9
2005,31　鳥　取,203.1,96.8
2005,32　島　根,204.1,89.6
2005,33　岡　山,179,82.8
2005,34　広　島,196.5,92
2005,35　山　口,214.4,96.1
2005,36　徳　島,188.5,90.5
2005,37　香　川,185.5,89.7
2005,38　愛　媛,190.2,95.1
2005,39　高　知,204.5,94.3
2005,40　福　岡,218.1,103.4
2005,41　佐　賀,219.8,106.1
2005,42　長　崎,220.6,99.2
2005,43　熊　本,177.5,90.9
2005,44　大　分,179.5,87.4
2005,45　宮　崎,183.9,90.9
2005,46　鹿児島,192.1,90.6
2005,47　沖　縄,177.1,89.2
